drep_type	drep_hash	stake	vote	bucket	stored_active	stored_expiry	stored_last_interaction	recomputed_active	recomputed_expiry	fallback_expiry	fallback_active
0	94f7bb25c15f5e4e3a58bb9e8e6b10bfa8c2694f39f282167af35e2c	438156743860476		NON_VOTER_NO	true	594	574	true	594	594	true
0	0655f3a1c76788d839212adc459b188b84e680f30ae944c593fa18ae	430245618078839		NON_VOTER_NO	true	595	575	true	595	595	true
0	d9f73092d89249d353788554ebf22d5c6bee1fa0ac4d5a7310d35911	335468462659096		NON_VOTER_NO	true	595	575	true	595	595	true
1	429b12461640cefd3a4a192f7c531d8f6c6d33610b727f481eb22d39	231000766710416		NON_VOTER_NO	true	595	575	true	595	595	true
0	8b75035882d4165bea8000c4d3f2c123ae33c1d92a751a78135a2402	229747027320382		NON_VOTER_NO	true	593	573	true	593	593	true
0	a6c6f79e478cbd37f72b88d217154b19955463d796e4d1da8f4dca68	223048327636271		NON_VOTER_NO	true	594	574	true	594	594	true
0	d2e0ed6a4b1b3233f071244420293f7eeb077ebf758e74b3876d4552	216663585652413		NON_VOTER_NO	true	593	573	true	593	593	true
0	b102197ee2affaebd50fcb8ca69fb4fa9eba931f4cc219f18db6d7e6	187445921525150		NON_VOTER_NO	true	594	574	true	594	594	true
0	53f6a8fad05efc1111cca4dcb96ce891dbfa52459f02efdba117bdb4	129697895367633		NON_VOTER_NO	true	594	574	true	594	594	true
0	984182ef4f6a0bd57b27a2a533ba192de3f2fa80821c8ba95bddd590	126336535380495		NON_VOTER_NO	true	593	573	true	593	593	true
0	fdec0e7b970169151874a50e0f22f41fe95dd722eb0e1a11364095e2	114657125868711		NON_VOTER_NO	true	592	572	true	592	592	true
0	b6f4547ad049d7443ee5695761e1aa5e446cfccf72c7ed0d8ad8edfa	96743954964028		NON_VOTER_NO	true	594	574	true	594	594	true
0	008e918639050ec8b708e5d8ff5224595098a28f0fc6671c66e292ab	89340278241086		NON_VOTER_NO	true	595	575	true	595	595	true
0	79609a10873af5f00d0b4b95cccb3628bd60038113b16c9835caa9dd	88319757146148		EXCLUDED_INACTIVE	false	527		false	527	527	false
0	2358e09cc591f954fdd2038c93c9b2704a1a892a35476f319e4a056d	80439519236144		NON_VOTER_NO	true	594	574	true	594	594	true
0	57838a1e44b12af4b33083f155c8d61cec93afb1827eb66ea159020c	70784390452605		NON_VOTER_NO	true	595	575	true	595	595	true
0	9e90e1e9d025fae5abf970610d80134f2b087a977c178553f60c3ea0	69033688442796		NON_VOTER_NO	true	592	572	true	592	592	true
0	214bcd0cec6e4db3d2ab1fdcb8c184810b48ad9ec9e94642a3333a08	65452351195224		NON_VOTER_NO	true	595	575	true	595	595	true
0	f8d68d00c75e66d7bddc341f94536871b321e387851da112cff7ab43	62321534024416		NON_VOTER_NO	true	595	575	true	595	595	true
0	1189ae5e6370afc64fa39f909ebd21c1213d331c33a1fce8c61a54c0	61814098246447		NON_VOTER_NO	true	591	571	true	591	591	true
0	7bdef7aaf3c925e97ca42d36f119b0469a12cca4a17ecfefc6900350	60669285598893		NON_VOTER_NO	false	529	553	true	577	577	true
0	b3c2a80e21fd49fe1f447b7fddf725197106c3974873856c685e2d60	58219835617652		NON_VOTER_NO	true	595	575	true	595	595	true
0	86b4d0fb7fd85807003537d6c14f4053cfa75f2f9d4f670d23dec934	58175940863650		NON_VOTER_NO	true	595	575	true	595	595	true
0	397d360833d143b0e106cc848ec0798ec4b34bc04aae0852192ce21f	57041766863054		NON_VOTER_NO	true	593	573	true	593	593	true
0	2775713575b07fb5093385e18b88ec76792c19714d7a2233a1fdb469	57041128356631		NON_VOTER_NO	true	595	575	true	595	595	true
0	ddb7316d7f4ff1d69084f2352e4613284381f17474fd133dfb4bb6ed	54429506478791		NON_VOTER_NO	true	593	573	true	593	593	true
0	a865b3916bd1d4eb06b2c650d928991db042f54f3658c0fb8dfe1af4	48258007956691		NON_VOTER_NO	true	591	571	true	591	591	true
0	e42d3c6875ec24dc6ca5ecc995a6c6461775a055ae065c34481d08d8	47935954343920		NON_VOTER_NO	true	595	575	true	595	595	true
0	e110365006277fb6a38f3365738f9a973b9d555a269f53a788224be4	47598263642416		NON_VOTER_NO	true	591	571	true	591	591	true
0	bb3e6561bcf03e7544ed75c721cf1bac41187e97fef1b0aaa178f131	43529706139656		NON_VOTER_NO	true	592	572	true	592	592	true
0	0d9eb7b6f88458cd4b99593009e93742467bebcfead29de7ee52bff9	43238701740713		NON_VOTER_NO	true	593	573	true	593	593	true
0	8ddc76d77a0e0ae4c946d847134aecfd5c4bd9960381a01a65eadc58	42920491133599		NON_VOTER_NO	true	594	574	true	594	594	true
0	c50b9b9beeb0e1cfec57304c7d20746d59f2b3e71bbba847f48b79e2	39379551256956		NON_VOTER_NO	true	594	574	true	594	594	true
0	f0caf4def41f998329a68124fd3569c5241b9fe5b792f13409f09ef5	38965654164265		NON_VOTER_NO	true	591	571	true	591	591	true
0	3205f090910b08edd1ccbd984117014768e27f79d39bcd7cac9d11ac	36807075646548		EXCLUDED_INACTIVE	false	561	540	false	561	561	false
0	55215f98aa7d9e289d215a55f62d258c6c3a71ab847b76de9ddbe661	35458729869733		NON_VOTER_NO	true	594	574	true	594	594	true
0	166c430c14ef054c1d0978742cdd7b4cffe81415e0007dd5d666eb9f	33860054832275		NON_VOTER_NO	true	595	575	true	595	595	true
0	f5f434209648a3e80e5a8fedcede834172d3ac4edb9aa9808efeb912	33103667862890		NON_VOTER_NO	true	595	575	true	595	595	true
0	7946d5404f3d98e79cadaddde1114444a14f506ebd5459ae71f24d46	33001536222895		NON_VOTER_NO	true	595	575	true	595	595	true
0	2084df046dfe947fbbb8ad2997c31472dca4fda88a54bbea48f0e98f	29611642934125		NON_VOTER_NO	true	595	575	true	595	595	true
0	725cceb7823111ea775edd2cfe577eae89b16520856703095b1b28d7	29332140288662		NON_VOTER_NO	true	593	573	true	593	593	true
0	73b6ee5b30e85b670804c4d3b5fd9dadccd46d9ce34c1c09873f2597	26511186268370		NON_VOTER_NO	true	593	573	true	593	593	true
0	a4a01438f9e942e8b9e97101ddabeea1f9f7785a05c670139dbfa4f2	25656904422669		NON_VOTER_NO	true	595	575	true	595	595	true
0	3e34d73f3a117e6d512a5086247de2a96553da255acc0b541ab9691e	24315664764720		NON_VOTER_NO	true	595	575	true	595	595	true
0	9dfb13e6396f205af8cc97d09e0d7112197d3e5377c1013928cdfc5f	24169956314284		NON_VOTER_NO	true	588	568	true	588	588	true
0	7a719c71d1bc67d2eb4af19f02fd48e7498843d33a22168111344a34	23364121427955		NON_VOTER_NO	true	595	575	true	595	595	true
0	d33da6bc4ad754e5f7d44d7eb7ef655ea40f539dd7840c0a8760ad59	22882429007084		NON_VOTER_NO	true	592	572	true	592	592	true
0	e98c1fc775307e6cc34f1b3d89d55532134d8c5addebdc77726e1788	22160906911722		EXCLUDED_INACTIVE	false	529	508	false	529	529	false
0	25abf030ece9ee4becd7dec7167d30974f523cb873e2cffc26c02fe0	22033358062075		NON_VOTER_NO	true	593	573	true	593	593	true
1	2bccc3b22a9d63fe5f85ea1f48536cc434ff17e8a8917111119159f4	21228319406312		NON_VOTER_NO	true	593	573	true	593	593	true
0	6591505c0bd0482dacc163172b733db55be091b0d9854fbbff1d2337	21048330047952		NON_VOTER_NO	true	593	573	true	593	593	true
0	c60c011505e349bb2d51662eaed93cb3b8133f25db99e1b8adcd423c	20917229440095		NON_VOTER_NO	true	594	574	true	594	594	true
0	bc094a622f7c0d0b6c0f64200404fceddd7c3666365822436df205bc	20408853417469		NON_VOTER_NO	true	595	575	true	595	595	true
0	df86215aa95b1af538fe523330935616481fdda4967ae2d81125f623	20113064137312		NON_VOTER_NO	true	595	575	true	595	595	true
0	6f1257494f7fa41389aab2ad7068a1092ce068e2804ecb4219fbbb2a	19574495821520		NON_VOTER_NO	true	595	575	true	595	595	true
0	aa61eb75dd91ff67c73ea168bb39f5fd1de0792408cb8dc2b4094ec8	19168163714920		NON_VOTER_NO	true	595	575	true	595	595	true
0	365718431b4015bef9b52d2f121a5ee183b4980f9769380600ef21eb	18863057718992		NON_VOTER_NO	true	593	573	true	593	593	true
0	538941f39273d794d786b81aa8a3b93b4099be00bd766dc0d300454f	18013578986189		NON_VOTER_NO	true	594	574	true	594	594	true
0	d254f8f6f0eceb571cd7d5364faa55b3c29390ad802c3ee0805b1d72	17506629237561		NON_VOTER_NO	true	595	575	true	595	595	true
0	9f5901807df95dab4887616df7b03b25c57e117deea83db70c9f1594	16954867125909		NON_VOTER_NO	true	593	573	true	593	593	true
0	2052ba04a96e5611a844f09ce2ca33b734133f5875a0b102fea42d46	16270593910296		NON_VOTER_NO	true	594	574	true	594	594	true
0	7d691a83f938411ac3ab444c61a981d7985d45eec6bc0481ff23d84c	16206831419823		NON_VOTER_NO	true	595	575	true	595	595	true
0	fbc9c1ce0916695952efb14870c390a9e62c151905cf047636f75734	15855243357280		NON_VOTER_NO	true	593	573	true	593	593	true
0	0dd84c5b1e5801f4ac86030254c9a8c0bb8ac1d0c7a1092b57f1e9c3	14900814036123		NON_VOTER_NO	false	530	573	true	593	593	true
0	b2b88994f73fc9e68844f84834eec01fde120c9e15fe293a7ee39e1e	14841298929091		NON_VOTER_NO	true	594	574	true	594	594	true
0	72e2d9e5b884f75aa52127f08bc471a9e670d40fc0d3209fe321a05a	13665860715576		EXCLUDED_INACTIVE	false	566	542	false	566	566	false
0	a53027bb45560a772135d0815c08f041447261bd5c40d897282205ab	12636647976656		NON_VOTER_NO	true	594	574	true	594	594	true
0	82465185d03f979831a26ff629ce971a6391597b70165972519233f1	11764827826608		NON_VOTER_NO	true	577	553	true	577	577	true
0	0413ebc79500781e04bdabdf76ab1d2b00c61c3a4c213657e1b13aaf	11651051697315		NON_VOTER_NO	true	593	573	true	593	593	true
0	17e90d4a81d388eaf3eed0910179c704a08612d4874b3f2740541678	11094515898665		NON_VOTER_NO	true	593	573	true	593	593	true
0	c6f5be064ffc0494a269cc56f767c3f60b67635f336bd6f9b05a7484	11037985280775		NON_VOTER_NO	true	595	575	true	595	595	true
0	ac7e65a6950c226cc6125fe0fd0f5d0cdaef78b3905fbacebb7ee266	10987897914483		NON_VOTER_NO	true	584	561	true	584	584	true
0	1d4bee66b0506de8fb7b612391a2a597c1f8fc582a7a3052e0cb2e9c	10967425847626		NON_VOTER_NO	true	580	557	true	580	580	true
0	a4d8e2b7421eb6f3b438b58d56c51a687f8a32fe25f36249cf601fe8	10963522753045		NON_VOTER_NO	true	594	574	true	594	594	true
0	a1f697359efb00243c83699d786ec0a55fa9ed8ea919221138ebbeee	10957933518630		NON_VOTER_NO	true	589	569	true	589	589	true
0	6caf0c34ee5e846da6796dab3df85cf14554b05077529b6c5374fb8f	10853674434424		NON_VOTER_NO	true	582	559	true	582	582	true
0	43d159afe83267d9b160ef6afa1223e4040226e6aea130aecb139073	10769314045345		NON_VOTER_NO	true	595	575	true	595	595	true
0	ee147b12e224c7f014ce3f8e731f9c599a9b87ec951fbaf62b7727ba	10616775362695		EXCLUDED_INACTIVE	false	539	516	false	539	539	false
0	98a9e2ebf6ba1eaff3321623dce2216b1eb13e0f5a0b5984c6c5bc07	10285530723196		NON_VOTER_NO	true	595	575	true	595	595	true
0	e6407707a9f3f8bca49e436b97bcfca4bf505d2a64a7085caa3ef767	10207090014581		EXCLUDED_INACTIVE	false	558	536	false	558	558	false
0	e3e844516b45b17105df2462530f0f568caf72669374c6f9acf73629	9480964984700		NON_VOTER_NO	true	592	572	true	592	592	true
0	43506c27a95547c19fc9d0e56e927487d3eb3ed00ec117ce094a74e5	9360385678074		NON_VOTER_NO	true	594	574	true	594	594	true
0	937271ae3cb948e545d6224e219cfeaf148783bccd5a7d3d2e69bc81	9142080096315		NON_VOTER_NO	true	594	574	true	594	594	true
0	c1aac9b6a2720e3d4a38a7dcc62d8cf10a3f92ff81963f80f9a3ef9f	8734574454372		NON_VOTER_NO	true	595	575	true	595	595	true
0	ebf225e977c623db52a658d88cce7c001d7816bc750e14fd2f811043	8176242619332		NON_VOTER_NO	true	592	572	true	592	592	true
